,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
209,Nineteen Shelford Road,0.612823866,0,0.228717974,-0.308999836,0
210,The Regency At Tiong Bahru,0.665879597,0,0.333814383,-0.963344425,0
211,Parc Vista,0.963930535,0,0.602603606,-0.493974173,0
212,Tanamera Crest,0.547881704,-0.005097002,0.368402923,0.192969161,0.998981476
213,Grande Vista,0.8560389,0.789056447,0.550368239,0.333458145,0.999684589
214,The Geranium,0.33408465,0.997532487,0.411785323,0.013299987,0
215,Cluny Park Residence,0.767885396,0.506147243,0.632765775,0.676687846,0.999436239
216,Ocean Park,0.843345551,0.999477297,0.623324966,0.431976067,0.66645968
217,Anchorvale Crescent,0.699145376,0.996487617,0.261046857,0.011853665,0
218,Sommerville Park,0.563378067,-0.17070967,0.374722023,0.416645429,0.333241304
219,The Luxurie,0.801499262,-0.292734418,0.354141129,0.257046103,0.127711586
220,St. Martin Residence,0.902456204,0.200322366,0.575295879,0.555636611,0.599979734
221,Seascape,0.572444515,0.831317847,0.572404753,0.17493606,0.427156637
222,The Merasaga,0.679242483,0,0.370013054,-0.308999836,0
223,Sennett Residence,0.887152555,0.999677896,0.755056343,0.669014007,0
224,Viva,0.554198115,0.998828848,0.448559392,-0.185390389,0.999682426
225,Cairnhill Crest,0.776408414,0.733214237,0.522251993,0.145791256,-0.998631418
226,Peirce View Condominium,0.769185877,0.004337877,0.646760313,0.017801672,0
227,Rosewood,0.611684645,0.579809189,0.800308204,0.1931133,0.715269702
228,Hillview Park,0.681371593,0.990731871,0.386272249,0.428487913,-0.384624822
229,Kensington Park Condominium,0.998546779,0.999159485,0.776949012,-0.054193676,0.999687433
230,The Esparis,0.198451889,0,0.597858414,0.598166406,0.166799992
231,Hillington Green,0.333257963,0,0.080016365,-0.067687526,-0.998631418
232,SeaHill,0.670232859,0.713735683,0.382843473,-0.083884965,0.997322619
233,Heritage View,0.983817291,0,0.599058855,-0.303635339,0
234,Limau Park,0.406022702,0,0.270205991,-0.308999658,0
235,Villas Laguna,0.198451889,0,0.597858414,0.598166406,0.166799992
236,Viz At Holland,0.333257963,0,0.080016365,-0.067687526,-0.998631418
237,The Shore Residences,0.670232859,0.713735683,0.382843473,-0.083884965,0.997322619
238,Windy Heights,0.983817291,0,0.599058855,-0.303635339,0
239,Elias Green,0.447502188,0.49990429,0.566759006,0.508310981,0.999686003
240,The Cornwall,0.739757214,0.354925113,0.162977646,0.153286653,-0.019734308
241,Loyang Valley,0.998776484,0,0.400401437,-0.188850367,0
242,The Greenwich,0.387367755,0,0.245541622,-0.482945442,-0.997686863
243,Forestville,0.621502427,-0.000584424,0.711183199,-0.309062282,0
244,The Jade,0.499534519,0.119878014,0.152474573,0.387255761,-0.031009022
245,Yew Mei Green,0.834547376,0,0.131320139,-0.423467338,-0.998631418
246,Sunhaven,0.998155683,0,0.598647988,0.21439383,0.999685884
247,Oasis @ Elias,0.999688268,0,0.5249291,0.018171132,0
248,Pinewood Gardens,0.904080978,-0.159865814,0.399888012,0.307227443,0.001498481
249,The Windsor,0.617991842,0.877498153,0.831511211,0.668719786,0.848028687
250,The Luxe,0.529149135,-0.000745436,0.445502276,0.207748444,0.856130813
