,Condominium Name,Location,Facilities,Financial Value,Service and Management,Environment
46,Dahlia Park Condominium,0,0,0,0,0
47,Nassim Regency,0,0,0,0,0
48,Symphony Suites,0,0,0,0,0
49,The Vision,0,0,0,0,0
50,Hedges Park Condominium,0.66622135,0.720481217,0.367958674,0.009239097,0.71048075
51,Robin Residences,0,0,0,0,0
52,Parc Life,0.918949464,0.987569639,0.633308801,0.015307367,0.998353243
53,Emerald Garden,0,0,0,0,0
54,The Crest,0.688441801,0.727999751,0.361137078,0.745265764,0.899479064
55,Simei Green Condominium,0,0,0,0,0
56,The Metz,0.311360355,-0.998715848,0.591489442,0.405403644,0.999683475
57,The Tapestry,0.661939388,0.769322848,0.481564301,0.415208413,0.667131526
58,Waterwoods,0.514975123,0.947836101,0.499041446,-0.963344425,0.977577657
59,Hilltops,0,0,0,0,0
60,Mayfair Modern,0.718294494,0.405656902,0.584805502,0.382402223,0.433446663
61,eCO,0,0,0,0,0
62,Sturdee Residences,0.683470947,0.433134161,0.41406681,0.412400242,-0.046591699
63,Paterson Residence,0,0,0,0,0
64,Sky Vue,0.487130418,0.399555522,0.465066196,0.335488304,0.767172893
65,CityLife @ Tampines,0.882440135,0.238088608,0.177058407,0.508919813,0.125046879
66,Caribbean At Keppel Bay,0,0,0,0,0
67,Sea Esta,0.872921849,0.332831522,0.528300297,0.331539379,0.333594143
68,The Esta,0.762715927,0.995084792,0.636345545,0.06033381,0.999602775
69,The Terrace,0,0,0,0,0
70,Queens Peak,0,0,0,0,0
71,Casafina,0,0,0,0,0
72,The Seafront On Meyer,0,0,0,0,0
73,Kovan Melody,0,0,0,0,0
74,Dover Parkview,0,0,0,0,0
75,Richmond Park,0,0,0,0,0
76,Royalgreen,0.669782407,0.342646432,0.405950154,0.492668825,0.295331271
77,Pine Grove,0,0,0,0,0
78,Kovan Regency,0,0,0,0,0
79,The Tessarina,0,0,0,0,0
80,Orchard Scotts,0,0,0,0,0
81,Boathouse Residences,0.501046654,0.395295164,0.378424592,0.508766316,0.236857116
82,Marina Bay Suites,0,0,0,0,0
